"Name","End Time","Runtime","State","cutoff_distance","dropout","hidden_channels","learning_rate","weight_decay","Test Accuracy","Test F1","Test Loss","Test Sensitivity","Test Specificity","Train Accuracy","Train F1","Train Loss","Train Sensitivity","Train Specificity"
"prime-sweep-85","2025-01-13T17:54:24.000Z","982","finished","8.15427868159003","0.2","256","0.000006326055053005205","0.000003921605123761771","0.698","0.6552511415525114","0.624580129981041","0.5616438356164384","0.8404907975460123","0.703","0.6530952778241281","0.6389547884464264","0.5310719131614654","0.8941176470588236"
"misunderstood-sweep-86","2025-01-13T17:55:28.000Z","57","finished","9.841841822057098","0.8","256","0.00030586221675568415","0.0000010978658249446165","0.511","0.6763732627399074","0.6919616957505544","1","0","0.5264285714285715","0.6897519887693028","0.6908083323921476","1","0"
"gallant-sweep-87","2025-01-13T17:56:17.000Z","45","finished","6.6838243529020565","0.4","128","0.0026489623886091474","0.0008103078060696317","0.511","0.6763732627399074","0.6930695424477259","1","0","0.5264285714285715","0.6897519887693028","0.6918862057583672","1","0"
"rosy-sweep-88","2025-01-13T18:09:48.000Z","804","finished","4.413039063167924","0.8","32","0.00004786575764563863","0.0000018411904319549055","0.483","0.5970381917381138","0.6519211630026499","0.7495107632093934","0.20449897750511248","0.5052857142857143","0.6174748702087706","0.6566592114312308","0.7584803256445047","0.22383107088989443"
"fine-sweep-89","2025-01-13T18:11:40.000Z","102","finished","9.639748136925936","0.6","64","0.0028189428504730653","0.00022281885011471824","0.511","0.6763732627399074","0.6931862632433573","1","0","0.5264285714285715","0.6897519887693028","0.6916173866816929","1","0"
"blooming-sweep-90","2025-01-13T18:25:24.000Z","818","finished","6.424648876241293","0.4","64","1.1578207865307762e-7","6.50387115153525e-8","0.489","0","0.7023723423480988","0","1","0.4735714285714286","0","0.7059292708124433","0","1"
"dazzling-sweep-91","2025-01-13T18:41:48.000Z","978","finished","6.681920269943765","0.2","256","0.000035541491032689414","0.00007615868898330933","0.7363333333333333","0.7004922377887164","0.5136867339412371","0.6033920417482062","0.8752556237218814","0.7691428571428571","0.7343852728468113","0.4597684389778546","0.6062415196743555","0.9502262443438914"
"dainty-sweep-92","2025-01-13T18:43:01.000Z","68","finished","6.646897924960644","0.6","64","0.000005170440593080305","9.625235879761997e-8","0.511","0.6763732627399074","0.6967099656661352","1","0","0.5264285714285715","0.6897519887693028","0.6941654767308917","1","0"
"elated-sweep-93","2025-01-13T18:44:08.000Z","58","finished","6.662368098203","0.8","32","0.030900286051269793","0.0006007385124428115","0.511","0.6763732627399074","0.6944854507843653","1","0","0.5264285714285715","0.6897519887693028","0.6922903614384788","1","0"
"exalted-sweep-95","2025-01-15T12:15:17.000Z","1008","finished","9.421966644519358","0.6","256","0.000006703245613457172","0.00010908367987967042","0.6953333333333334","0.6460108443067389","0.6284316579500834","0.5440313111545988","0.8534423994546694","0.6978571428571428","0.6375321336760925","0.6423055678606033","0.5047489823609227","0.9125188536953243"
"splendid-sweep-96","2025-01-15T12:16:28.000Z","65","finished","3.826985967168813","0.6","64","0.000006317631885087025","1.007824322540586e-7","0.511","0.6763732627399074","0.6979860663414001","1","0","0.5264285714285715","0.6897519887693028","0.6956441210848945","1","0"
"likely-sweep-97","2025-01-15T12:24:04.000Z","449","finished","9.481389346894275","0.2","128","0.00024043926326058223","0.000008977866476981972","0.744","0.7533718689788054","0.5690136154492696","0.7651663405088063","0.721881390593047","0.8161428571428572","0.8210262828535669","0.4162714523928506","0.8010854816824966","0.8328808446455506"
"whole-sweep-98","2025-01-15T12:25:27.000Z","76","finished","7.023821354506877","0.4","64","0.0082121596336912","0.000006084777500742724","0.511","0.6763732627399074","0.6932662526766459","1","0","0.5264285714285715","0.6897519887693028","0.6916466291461673","1","0"
"efficient-sweep-99","2025-01-15T12:42:26.000Z","1013","finished","7.702121848288018","0.8","256","1.0035175803773557e-8","0.000005820951951109554","0.489","0","0.7854863802591959","0","1","0.4735714285714286","0","0.7985813745430538","0","1"
"serene-sweep-1","2025-01-15T13:04:02.000Z","318","finished","9.396147999393548","0.2","128","0.0003872107641897718","0.000011420752465223108","0.747","0.763182527301092","0.5788601289192835","0.7977821265492498","0.6939331970006817","0.8065714285714286","0.8201381509032943","0.4827888309955597","0.8377204884667572","0.7719457013574661"
"true-sweep-2","2025-01-15T13:09:59.000Z","352","finished","6.777460783224422","0.5","128","0.0008625884085867318","0.00007492725147825603","0.7093333333333334","0.7330067360685855","0.6453382025162379","0.7808219178082192","0.634628493524199","0.7787142857142857","0.7900799566336902","0.49707697864089695","0.7910447761194029","0.7650075414781297"
"bumbling-sweep-3","2025-01-15T13:23:22.000Z","796","finished","9.420139558517477","0.6","32","0.00011002694714102256","4.3936807071920436e-8","0.7053333333333334","0.6913407821229051","0.5809982021649679","0.6457925636007827","0.7675528289025222","0.7524285714285714","0.7380196523053666","0.5773743263312748","0.662415196743555","0.8524886877828054"
"lucky-sweep-4","2025-01-15T13:29:46.000Z","375","finished","7.685713565188541","0.2","128","0.000344095218899342","7.923172323052604e-7","0.718","0.6821938392186326","0.5658999979496002","0.5923026744944553","0.8493524199045671","0.7715714285714286","0.7408847836655323","0.46386431051152094","0.6203527815468114","0.9396681749622926"
"wild-sweep-5","2025-01-15T13:39:06.000Z","551","finished","3.258544257142711","0.6","256","0.0001420229664490311","0.000002806496993093052","0.7713333333333333","0.7647462277091907","0.48774484544992447","0.7273320287018917","0.8173142467620995","0.8344285714285714","0.8321019846443575","0.370907652590956","0.7793758480325644","0.8956259426847663"
"peachy-sweep-6","2025-01-15T13:53:26.000Z","852","finished","4.782110179346585","0.8","64","0.000027397190442136015","0.000002692171033063784","0.684","0.6812373907195696","0.6548186987638474","0.6607958251793868","0.7082481254260395","0.7048571428571428","0.6917338108027454","0.6625771692820958","0.6290366350067843","0.7891402714932126"
"eager-sweep-7","2025-01-15T13:58:58.000Z","323","finished","3.578551080430995","0.2","256","0.000719990459837429","0.0005669727222428756","0.505","0.6688963210702341","0.6468621442715327","0.9784735812133072","0.010224948875255624","0.5325714285714286","0.6882027825424052","0.6117992720433644","0.9799185888738128","0.03529411764705882"
"eager-sweep-8","2025-01-15T14:12:19.000Z","796","finished","9.75734839020854","0.2","32","0.000025994670028230468","1.2947584188367482e-8","0.481","0.6234582829504233","0.6587712268034617","0.8408349641226354","0.10497614178595774","0.49342857142857144","0.6374974442854222","0.6623749498810086","0.8461329715061058","0.10135746606334842"
"bumbling-sweep-9","2025-01-15T14:25:41.000Z","797","finished","6.292772825720884","0.8","32","0.00002281855945098189","2.076562622611313e-7","0.49933333333333335","0.6633796503809951","0.677834024031957","0.9654272667971298","0.012269938650306749","0.5154285714285715","0.6786052681447793","0.6791908868721553","0.9717774762550881","0.008144796380090498"
"wandering-sweep-10","2025-01-15T14:29:58.000Z","249","finished","5.570414025896832","0.6","128","0.0006202917987590117","0.006481580452656694","0.7203333333333334","0.7073596093477502","0.5650633076826731","0.6614481409001957","0.78186775732788","0.7821428571428571","0.7683427008962479","0.4724641293287277","0.6862957937584804","0.8886877828054298"
"eager-sweep-11","2025-01-15T14:43:21.000Z","795","finished","5.933513729104744","0.2","32","0.00004443567866903419","0.00008374423484419477","0.6846666666666666","0.6480654761904762","0.6201914896567663","0.5681669928245271","0.8064076346284935","0.7017142857142857","0.655786350148368","0.6249632430928094","0.5397557666214383","0.8817496229260935"
"generous-sweep-12","2025-01-15T14:58:04.000Z","873","finished","7.463755918071003","0.4","128","0.00001137552894765875","0.000936422509698724","0.671","0.6597724922440538","0.6390569160381953","0.62426614481409","0.7198364008179959","0.7014285714285714","0.6859975961538461","0.6449932690177645","0.6195386702849389","0.7924585218702865"
"jolly-sweep-13","2025-01-15T15:12:48.000Z","876","finished","7.64359438158335","0.5","256","0.000058115122670085815","0.000020800879281958263","0.7823333333333333","0.7909061799551713","0.5021937713027","0.8056099151989563","0.7580095432856169","0.8375714285714285","0.8484606157536985","0.399255351296493","0.8637720488466757","0.808446455505279"
"wobbly-sweep-14","2025-01-15T15:21:38.000Z","524","finished","8.240720816392468","0.6","256","0.00016532687391407143","0.0000310898398766239","0.724","0.775974025974026","0.6548786262671152","0.9354207436399217","0.5030674846625767","0.7578571428571429","0.8098710039259674","0.5238867199846676","0.9796472184531886","0.5113122171945701"
