"Name","Sweep","End Time","Runtime","State","cutoff_distance","dropout","hidden_channels","learning_rate","weight_decay","Test Accuracy","Test F1","Test Loss","Test Sensitivity","Test Specificity","Train Accuracy","Train F1","Train Loss","Train Sensitivity","Train Specificity"
"volcanic-sweep-180","jbbvi8as","2025-01-21T17:55:30.000Z","863","finished","3.997275322856108","0.4","128","0.00006274925492404425","0.000012531352284748162","0.733","0.7574931880108992","0.5748602648576101","0.8160469667318982","0.6462167689161554","0.8062857142857143","0.8238503507404521","0.4801610016397067","0.8605156037991859","0.7460030165912519"
"cool-sweep-179","jbbvi8as","2025-01-21T17:40:59.000Z","49","finished","5.895374434601011","0.5","256","0.0006395456074787322","0.000020231750470698264","0.511","0.6763732627399074","0.6928397764762243","1","0","0.5264285714285715","0.6897519887693028","0.6912638247013092","1","0"
"twilight-sweep-178","jbbvi8as","2025-01-21T17:40:03.000Z","577","finished","6.776601031505395","0.6","320","0.0002796099271115888","0.00005627856662590114","0.761","0.732562476687803","0.5129087517658869","0.6405740378343118","0.8868438991138378","0.821","0.8037588097102584","0.3827189930847713","0.6963364993215739","0.959577677224736"
"snowy-sweep-177","jbbvi8as","2025-01-21T17:30:17.000Z","955","finished","3.1648531731965495","0.8","320","0.00005685256948219968","0.0002866194373825166","0.7366666666666667","0.6947449768160742","0.531172181169192","0.5864318330071755","0.8936605316973415","0.7875714285714286","0.7560295324036095","0.4350605479308537","0.6252374491180461","0.9680241327300152"
"honest-sweep-176","jbbvi8as","2025-01-21T17:14:13.000Z","560","finished","8.722741917191016","0.6","320","0.0002943741979310848","0.0000960073800897537","0.7506666666666667","0.7777777777777778","0.5838157882293066","0.8538812785388128","0.6428084526244036","0.8152857142857143","0.837501570943823","0.4433264753648213","0.9042062415196744","0.7164404223227753"
"vivid-sweep-175","jbbvi8as","2025-01-21T17:04:47.000Z","51","finished","3.3106624992801974","0.8","192","0.0006004698471954948","0.00018064513426672377","0.511","0.6763732627399074","0.692113051811854","1","0","0.5264285714285715","0.6897519887693028","0.6912807034594672","1","0"
"smart-sweep-174","jbbvi8as","2025-01-21T17:03:50.000Z","578","finished","7.826523974296328","0.5","320","0.0003535980878235607","0.0005908326731241207","0.7726666666666666","0.7763934426229508","0.5269175047675768","0.7723418134377038","0.7730061349693251","0.8558571428571429","0.8583462024427909","0.34032818568604334","0.8295793758480325","0.8850678733031674"
"effortless-sweep-173","jbbvi8as","2025-01-21T16:54:03.000Z","340","finished","6.476086443275896","0.6","320","0.0006565916235222345","0.0005473524619083922","0.5016666666666667","0.6677039342076017","0.6655260374148687","0.9797782126549248","0.002044989775051125","0.5235714285714286","0.6824111989334349","0.6631260854857308","0.9723202170963364","0.02473604826546003"
"winter-sweep-172","jbbvi8as","2025-01-21T16:48:17.000Z","343","finished","4.547553361342114","0.4","128","0.0008696012643291489","0.0003940283174330757","0.7536666666666667","0.7584177835894083","0.5878118847807249","0.7566862361382909","0.7505112474437627","0.8497142857142858","0.8554150632215503","0.3670624430690493","0.8445047489823609","0.8555052790346908"
"skilled-sweep-171","jbbvi8as","2025-01-21T16:42:27.000Z","465","finished","6.024587459900491","0.5","192","0.00035674917419232886","0.00023681549988715576","0.769","0.7730101539469374","0.5122974365949631","0.7697325505544683","0.7682344921608726","0.8415714285714285","0.8527028821888697","0.3977308262671743","0.8710990502035278","0.8087481146304676"
