_step,Train F1,Train Loss,Test Sensitivity,Test Specificity,Train Sensitivity,Test F1,Train Accuracy,_runtime,_timestamp,Test Loss,Test Accuracy,Train Specificity
1714,0.8714596949891068,0.31880831718444824,0.7669902912621359,0.8247422680412371,0.8130081300813008,0.7939698492462312,0.8728448275862069,655.575808763504,1751664554.0918417,0.5300909876823425,0.795,0.9403669724770642
1715,0.8590308370044053,0.3201170116662979,0.7378640776699029,0.8350515463917526,0.7926829268292683,0.7794871794871795,0.8620689655172413,655.9038145542145,1751664554.4198475,0.5305135846138,0.785,0.9403669724770642
1716,0.8590308370044053,0.32347235083580017,0.7184466019417476,0.845360824742268,0.7926829268292683,0.7708333333333334,0.8620689655172413,656.2710828781128,1751664554.7871158,0.5311837196350098,0.78,0.9403669724770642
1717,0.885593220338983,0.31096112728118896,0.7766990291262136,0.7938144329896907,0.8495934959349594,0.7881773399014779,0.8836206896551724,656.637692451477,1751664555.1537254,0.5340915322303772,0.785,0.9220183486238532
1718,0.8875255623721882,0.3139720559120178,0.7864077669902912,0.7525773195876289,0.8821138211382114,0.7788461538461539,0.8814655172413793,657.004998922348,1751664555.5210319,0.5450749397277832,0.77,0.8807339449541285
1719,0.8812877263581489,0.31449224054813385,0.7961165048543689,0.7422680412371134,0.8902439024390244,0.780952380952381,0.8728448275862069,657.3727376461029,1751664555.8887706,0.5522438287734985,0.77,0.8532110091743119
1720,0.8866396761133604,0.3131435215473175,0.7961165048543689,0.7525773195876289,0.8902439024390244,0.784688995215311,0.8793103448275862,657.7387042045593,1751664556.2547371,0.5494804978370667,0.775,0.8669724770642202
1721,0.8714596949891068,0.31203414499759674,0.7669902912621359,0.8144329896907216,0.8130081300813008,0.79,0.8728448275862069,658.1078689098358,1751664556.6239018,0.5292773246765137,0.79,0.9403669724770642
1722,0.8539325842696629,0.34229040145874023,0.6893203883495146,0.865979381443299,0.7723577235772358,0.7593582887700535,0.8599137931034483,658.4746885299683,1751664556.9907215,0.5372178554534912,0.775,0.9587155963302753
1723,0.8565022421524664,0.3391987830400467,0.6893203883495146,0.865979381443299,0.7764227642276422,0.7593582887700535,0.8620689655172413,658.7694969177246,1751664557.2855299,0.5365990996360779,0.775,0.9587155963302753
1724,0.8817204301075269,0.3127865195274353,0.7669902912621359,0.8041237113402062,0.8333333333333334,0.7860696517412935,0.8814655172413793,659.1309263706207,1751664557.6469593,0.5299273729324341,0.785,0.9357798165137615
1725,0.889795918367347,0.3113624155521393,0.7864077669902912,0.7525773195876289,0.8861788617886179,0.7788461538461539,0.8836206896551724,659.4983036518097,1751664558.0143366,0.5475171804428101,0.77,0.8807339449541285
1726,0.8782435129740519,0.31410348415374756,0.7961165048543689,0.7422680412371134,0.8943089430894309,0.780952380952381,0.8685344827586207,659.8650505542755,1751664558.3810835,0.5552921891212463,0.77,0.8394495412844036
1727,0.8907563025210085,0.3054739087820053,0.7766990291262136,0.7938144329896907,0.8617886178861789,0.7881773399014779,0.8879310344827587,660.1598162651062,1751664558.6758492,0.5357893705368042,0.785,0.9174311926605505
1728,0.8616071428571429,0.33227020502090454,0.7087378640776699,0.8556701030927835,0.7845528455284553,0.7684210526315789,0.8663793103448276,660.4786009788513,1751664558.994634,0.5346676707267761,0.78,0.9587155963302753
1729,0.8628318584070797,0.32200324535369873,0.7087378640776699,0.845360824742268,0.7926829268292683,0.7643979057591623,0.8663793103448276,660.8507885932922,1751664559.3668215,0.531239926815033,0.775,0.9495412844036697
1730,0.8875,0.3044895827770233,0.7766990291262136,0.7835051546391752,0.8658536585365854,0.7843137254901961,0.8836206896551724,661.2178845405579,1751664559.7339175,0.5364717245101929,0.78,0.9036697247706422
1731,0.8902691511387164,0.3059369623661041,0.7766990291262136,0.7835051546391752,0.8739837398373984,0.7843137254901961,0.8857758620689655,661.5880832672119,1751664560.1041162,0.5375609397888184,0.78,0.8990825688073395
1732,0.8852459016393442,0.30974410474300385,0.7766990291262136,0.7525773195876289,0.8780487804878049,0.7729468599033816,0.8793103448275862,661.9572913646698,1751664560.4733243,0.5408930778503418,0.765,0.8807339449541285
1733,0.8782435129740519,0.31498271226882935,0.7961165048543689,0.7319587628865979,0.8943089430894309,0.7772511848341233,0.8685344827586207,662.325216293335,1751664560.8412492,0.5577031970024109,0.765,0.8394495412844036
1734,0.8935281837160751,0.30563388764858246,0.7766990291262136,0.7938144329896907,0.8699186991869918,0.7881773399014779,0.8900862068965517,662.6936571598053,1751664561.20969,0.5370736122131348,0.785,0.9128440366972477
1735,0.8874734607218684,0.30675600469112396,0.7766990291262136,0.7938144329896907,0.8495934959349594,0.7881773399014779,0.8857758620689655,663.0257737636566,1751664561.5418067,0.5346356630325317,0.785,0.926605504587156
1736,0.8615384615384616,0.3140961080789566,0.7572815533980582,0.8350515463917526,0.7967479674796748,0.7918781725888325,0.8642241379310345,663.3931472301483,1751664561.9091802,0.5313153266906738,0.795,0.9403669724770642
1737,0.8615384615384616,0.31609341502189636,0.7281553398058253,0.8350515463917526,0.7967479674796748,0.7731958762886598,0.8642241379310345,663.7608714103699,1751664562.2769043,0.531818151473999,0.78,0.9403669724770642
1738,0.8865096359743041,0.3040053993463516,0.7766990291262136,0.7938144329896907,0.8414634146341463,0.7881773399014779,0.8857758620689655,664.1290905475616,1751664562.6451235,0.5332258343696594,0.785,0.9357798165137615
1739,0.8764940239043825,0.3168823570013046,0.7961165048543689,0.7216494845360825,0.8943089430894309,0.7735849056603774,0.8663793103448276,664.4968984127045,1751664563.0129313,0.5611959099769592,0.76,0.8348623853211009
1740,0.891170431211499,0.3054598867893219,0.7766990291262136,0.7525773195876289,0.8821138211382114,0.7729468599033816,0.8857758620689655,664.8663229942322,1751664563.382356,0.5430448055267334,0.765,0.8899082568807339
1741,0.8565022421524664,0.33798137307167053,0.6796116504854369,0.865979381443299,0.7764227642276422,0.7526881720430108,0.8620689655172413,665.238114118576,1751664563.754147,0.5390154123306274,0.77,0.9587155963302753
1742,0.8590604026845637,0.3305882215499878,0.6990291262135923,0.8556701030927835,0.7804878048780488,0.7619047619047619,0.8642241379310345,665.6068935394287,1751664564.1229265,0.535197377204895,0.775,0.9587155963302753
1743,0.8926315789473684,0.3074413388967514,0.7766990291262136,0.7938144329896907,0.8617886178861789,0.7881773399014779,0.8900862068965517,665.9349989891052,1751664564.451032,0.5341627597808838,0.785,0.9220183486238532
1744,0.8782435129740519,0.3187554180622101,0.8155339805825242,0.7319587628865979,0.8943089430894309,0.7887323943661971,0.8685344827586207,666.3030958175659,1751664564.8191288,0.5604193210601807,0.775,0.8394495412844036
1745,0.8752475247524752,0.3218427300453186,0.8155339805825242,0.6907216494845361,0.8983739837398373,0.7741935483870968,0.8642241379310345,666.6695816516876,1751664565.1856146,0.5690684914588928,0.755,0.8256880733944955
1746,0.8874734607218684,0.3062662035226822,0.7766990291262136,0.7938144329896907,0.8495934959349594,0.7881773399014779,0.8857758620689655,666.996310710907,1751664565.5123436,0.5346469879150391,0.785,0.926605504587156
1747,0.8622222222222222,0.32351723313331604,0.7087378640776699,0.8556701030927835,0.7886178861788617,0.7684210526315789,0.8663793103448276,667.3671660423279,1751664565.883199,0.5340517163276672,0.78,0.9541284403669725
1748,0.8634361233480177,0.32296065986156464,0.7184466019417476,0.845360824742268,0.7967479674796748,0.7708333333333334,0.8663793103448276,667.7359869480133,1751664566.25202,0.5324661731719971,0.78,0.944954128440367
1749,0.8634361233480177,0.32167546451091766,0.7281553398058253,0.845360824742268,0.7967479674796748,0.7772020725388601,0.8663793103448276,668.1088626384735,1751664566.6248956,0.5318044424057007,0.785,0.944954128440367
1750,0.8812877263581489,0.311228409409523,0.7961165048543689,0.7422680412371134,0.8902439024390244,0.780952380952381,0.8728448275862069,668.477117061615,1751664566.99315,0.5530899167060852,0.77,0.8532110091743119
1751,0.8866396761133604,0.3102589249610901,0.7961165048543689,0.7422680412371134,0.8902439024390244,0.780952380952381,0.8793103448275862,668.8459057807922,1751664567.3619387,0.5526829361915588,0.77,0.8669724770642202
1752,0.8926315789473684,0.30338750779628754,0.7766990291262136,0.7938144329896907,0.8617886178861789,0.7881773399014779,0.8900862068965517,669.2141020298004,1751664567.730135,0.5359923839569092,0.785,0.9220183486238532
1753,0.8812095032397408,0.30833251774311066,0.7669902912621359,0.8041237113402062,0.8292682926829268,0.7860696517412935,0.8814655172413793,669.5821058750153,1751664568.0981388,0.5325966477394104,0.785,0.9403669724770642
1754,0.8836206896551724,0.3061458319425583,0.7766990291262136,0.8041237113402062,0.8333333333333334,0.7920792079207921,0.8836206896551724,669.94881939888,1751664568.4648523,0.5335100889205933,0.79,0.9403669724770642
